county_name,country_code,black_male_voted,black_male_perc,black_female_voted,black_female_perc,black_un_voted,black_un_perc,white_male_voted,white_male_perc,white_female_voted,white_female_perc,white_un_voted,white_un_perc,asia_male_voted,asia_male_perc,asia_female_voted,asia_female_perc,asia_un_voted,asia_un_perc,hisp_male_voted,hisp_un_perc,hisp_female_voted,hisp_famel_perc,hisp_unknown_voted,hisp_un_perc,natm_male_voted,natm_male_perc,natm_female_voted,natm_female_perc,natm_un_voted,natm_un_perc,other_male_voted,other_male_perc,other_female_voted,other_female_perc,other_un_voted,other_un_perc,unknown_male_voted,unknown_male_perc,unknown_female_voted,unknown_female_perc,unknown_un_voted,unknown_un_perc,total_voted,total_perc
COBB,033,31285,52.25,51163,62.64,64,47.06,90366,62.94,100830,64.63,103,51.24,3721,49.83,4340,52.33,12,42.86,5057,43.35,7208,51.75,12,37.5,187,38.24,240,48,1,100,2263,50.14,3315,56.09,14,46.67,5496,34.35,6627,41.03,158,49.84,312462,59.31
COFFEE,034,1006,38.29,1919,51.99,0,0,4286,60.61,4930,60.09,3,30,22,34.92,23,35.38,0,0,84,24.56,119,34.1,0,0,6,37.5,3,18.75,0,0,19,31.67,10,18.18,0,0,118,22.14,111,22.42,6,54.55,12665,53.63
COLQUITT,035,768,33.98,1433,46.02,1,33.33,4740,65.02,5313,63.55,4,57.14,16,32,18,36,0,0,86,19.95,129,26.11,0,0,3,23.08,5,38.46,0,0,19,38,37,46.84,0,0,189,25.78,238,33.47,5,27.78,13004,54.92
COLUMBIA,036,4146,57.04,6084,65.96,7,33.33,20943,62.35,23090,61.58,16,33.33,595,45.59,784,47.69,6,85.71,546,41.81,727,45.35,0,0,41,43.16,50,46.3,0,0,334,49.26,427,49.08,1,100,1888,37.9,2037,41.69,20,44.44,61742,58.7
COOK,037,480,43.52,887,55.93,0,0,2061,63.47,2189,61.77,1,100,8,32,5,20.83,0,0,14,20.29,30,37.04,0,0,1,25,1,50,0,0,9,32.14,11,37.93,0,0,63,34.62,57,40.43,0,0,5817,57.79
COWETA,038,3096,52.20,5342,62.62,12,60,20374,63.04,22479,62.92,45,62.5,155,36.56,261,45.31,0,0,422,43.55,571,44.64,2,33.33,18,46.15,12,46.15,0,0,171,47.11,223,53.35,2,50,2397,39.82,2648,45.03,18,31.03,58248,59.04
CRAWFORD,039,378,52.94,640,70.8,2,100,1806,64.39,1927,63.22,0,0,3,25,6,46.15,0,0,6,25,9,26.47,0,0,3,37.5,1,50,0,0,7,38.89,6,26.09,0,0,87,30.21,72,35.82,1,25,4954,61.16
CRISP,040,763,38.23,1545,49.55,1,25,2121,68.57,2466,67.45,0,0,5,12.82,9,23.68,0,0,13,39.39,21,44.68,0,0,1,20,1,50,0,0,4,16.67,9,39.13,0,0,62,26.16,68,33.01,0,0,7089,56.59
DADE,041,8,25.00,8,28.57,0,0,2375,47.42,2581,53.05,3,37.5,2,9.52,8,36.36,0,0,5,14.71,11,31.43,0,0,6,46.15,1,20,0,0,6,35.29,6,33.33,1,50,213,28.71,246,38.86,0,0,5480,47.71
DAWSON,042,19,32.76,11,36.67,0,0,5127,62.71,5558,62.77,3,50,13,31.71,22,39.29,0,0,57,49.14,60,45.45,0,0,8,38.1,3,33.33,0,0,27,56.25,21,60,0,0,328,35.19,346,41.34,6,46.15,11609,59.95
DECATUR,043,1014,42.07,2050,54.78,1,33.33,2639,62.02,3082,61.2,4,57.14,5,23.81,10,30.3,0,0,26,26.53,41,33.61,0,0,3,60,4,44.44,0,0,15,42.86,14,33.33,0,0,125,30.94,128,41.97,7,63.64,9168,55.44
DEKALB,044,57901,46.77,97501,60.42,8,15.09,54540,66.67,63130,68.73,13,50,3339,48.17,4049,51.68,1,20,2669,46.79,3564,53.11,2,25,127,32.4,168,44.68,0,0,2177,45.32,3244,52.65,4,30.77,9681,38.21,12008,48.38,29,14.43,314155,57.31
DODGE,045,545,48.44,996,58.93,1,100,2564,70.89,2740,67.79,4,100,3,23.08,8,42.11,0,0,10,33.33,14,45.16,0,0,2,100,0,0,0,0,5,35.71,8,47.06,0,0,80,32.79,88,40.55,0,0,7068,63.87
DOOLY,046,581,48.95,1080,63.91,0,0,968,73.17,1064,72.73,0,0,1,6.67,5,41.67,0,0,11,27.5,10,20,0,0,0,0,2,50,0,0,4,36.36,4,50,0,0,36,33.03,43,43.88,1,100,3810,63.37
DOUGHERTY,047,6928,40.22,12999,53.23,51,12.53,4540,57.61,5341,57.92,4,13.33,42,30.22,44,31.43,0,0,52,24.53,75,30.74,1,25,5,20,5,17.24,0,0,45,25.14,72,32.73,1,12.5,475,18.69,618,27.95,16,11.27,31314,47.97
DOUGLAS,048,9519,52.22,15653,62.73,25,58.14,11090,58.64,12582,58.98,8,32,167,40.53,233,45.07,0,0,519,37.12,805,47.02,3,75,23,29.11,32,43.24,0,0,272,47.97,414,52.67,4,100,1707,36.66,2310,47.14,26,31.71,55392,56.13
EARLY,049,567,39.16,1150,52.42,1,33.33,1123,66.73,1233,65.1,0,0,0,0,3,33.33,0,0,2,22.22,5,31.25,0,0,0,0,1,50,0,0,3,37.5,3,30,0,0,33,29.73,33,33,0,0,4157,55.46
ECHOLS,050,15,34.88,34,61.82,0,0,476,59.8,533,59.55,1,100,1,33.33,0,0,0,0,11,17.74,21,28.77,0,0,2,66.67,0,0,0,0,5,71.43,5,45.45,0,0,19,27.94,16,34.78,1,100,1140,55.15
EFFINGHAM,051,1056,49.86,1680,61.11,1,50,8835,60.34,9484,60.06,21,65.62,37,38.95,68,49.28,0,0,132,43.85,140,42.94,2,100,13,31.71,12,38.71,0,0,40,40.4,64,45.71,0,0,867,34.34,963,38.97,12,63.16,23427,56.42
ELBERT,052,598,45.93,1077,57.41,0,0,2553,68.57,2885,67.9,0,0,5,22.73,11,42.31,1,100,20,35.71,25,41.67,0,0,0,0,4,66.67,0,0,8,40,10,45.45,0,0,116,39.19,102,38.49,2,66.67,7417,62.18
EMANUEL,053,655,42.64,1322,54.38,0,0,2542,69.34,2900,68.36,3,75,9,56.25,8,42.11,0,0,9,20.93,16,34.04,0,0,0,0,2,40,0,0,5,29.41,9,34.62,0,0,137,24.77,126,24.75,1,33.33,7744,59.02
EVANS,054,276,45.92,541,58.11,0,0,1153,68.22,1313,68.03,2,100,2,16.67,3,23.08,0,0,12,27.91,21,44.68,0,0,2,66.67,0,0,0,0,5,38.46,4,26.67,0,0,56,20.07,68,25.76,0,0,3458,59.14
FANNIN,055,4,28.57,6,31.58,0,0,5064,61.88,5541,60.96,4,50,5,38.46,21,56.76,0,0,22,37.29,31,58.49,0,0,6,37.5,8,44.44,0,0,18,54.55,16,59.26,1,100,254,47.39,247,48.34,2,40,11250,60.41
FAYETTE,056,5663,66.90,7774,74.11,19,65.52,17096,66.4,18941,67.27,32,56.14,360,42.65,499,48.73,2,66.67,455,47.54,673,55.48,2,40,20,37.74,24,44.44,0,0,281,54.25,373,60.36,1,100,2694,51.51,3162,57.32,32,52.46,58103,65.25
FLOYD,057,1219,44.20,2260,53.45,1,33.33,12081,61.84,13459,59.3,9,52.94,62,31.79,103,41.7,1,50,194,34.15,302,44.67,0,0,10,41.67,8,38.1,0,0,36,35.29,39,30.47,1,50,772,27.07,868,32.3,9,75,31434,55.39
FORSYTH,058,1178,59.59,1580,66.16,7,77.78,30216,63.37,33341,63.71,97,62.99,2249,56.34,2325,54.94,17,65.38,1001,47.64,1278,53.74,3,60,55,50,65,48.87,1,50,478,53.95,550,57.11,2,18.18,9424,56.17,9532,57.2,137,64.62,93536,61.12
FRANKLIN,059,157,38.86,268,48.11,0,0,3581,63.3,3806,61.34,2,100,11,32.35,12,36.36,0,0,19,37.25,22,43.14,0,0,5,50,1,50,0,0,4,22.22,16,53.33,0,0,134,28.27,129,31.31,3,60,8170,58.58
FULTON,060,59679,40.81,99163,54.53,127,26.85,92132,61.79,97630,62.83,240,54.79,5687,50.67,6293,52.9,44,51.16,3748,45.28,4879,50.75,22,41.51,144,29.88,181,38.19,0,0,2983,46.58,3997,52.14,26,45.61,21265,41.63,25526,49.18,442,36.02,424208,53.43
GILMER,061,16,43.24,15,60,0,0,5669,63.77,6009,62.51,8,53.33,13,41.94,13,46.43,0,0,54,28.12,79,39.5,0,0,3,30,3,17.65,0,0,17,38.64,28,65.12,0,0,324,45,306,49.28,2,40,12559,61.28
GLASCOCK,062,23,41.07,43,62.32,0,0,579,72.1,621,68.47,1,100,0,0,0,0,0,0,2,50,0,0,0,0,0,0,1,100,0,0,1,25,0,0,0,0,17,32.69,15,37.5,0,0,1303,67.16
GLYNN,063,2001,38.82,3761,50.09,1,9.09,11017,59.97,12945,59.66,22,61.11,74,32.6,101,36.73,1,100,136,29.63,157,29.46,3,100,16,40,11,30.56,0,0,88,41.31,109,38.52,0,0,1043,35.68,1274,41.44,17,50,32777,53.84
GORDON,064,255,43.81,370,56.66,0,0,7770,60.49,8351,57.83,0,0,29,31.18,33,28.95,0,0,251,35.15,348,40.32,0,0,9,32.14,7,31.82,0,0,31,36.9,39,41.49,0,0,177,21.27,189,29.86,2,33.33,17861,55.81
